Intenção,Sentença
Consultar saldo da conta,Qual o meu saldo
Interagir com a luz ou o ar-condicionado,Ligue a luz
Consultar saldo da conta,Me diga meu saldo
Consultar saldo da conta,Qual o meu saldo?
Interagir com a luz ou o ar-condicionado,está muito claro
Obter informações relativas ao clima,vai chover?
Obter informações relativas ao clima,Qual o clima amanhã?
Interagir com a luz ou o ar-condicionado,aumente a temperatura
Obter informações relativas ao clima,Qual a temperatura?
Interagir com a luz ou o ar-condicionado,"Foxbot, apague a luz"
Interagir com a luz ou o ar-condicionado,estou com frio
Obter informações relativas ao clima,vai fazer sol hoje?
Interagir com a luz ou o ar-condicionado,Desligue a luz
Interagir com a luz ou o ar-condicionado,Acenda a luz
Interagir com a luz ou o ar-condicionado,FoxBot Bom Dia (liga as luzes)
Interagir com a luz ou o ar-condicionado,deixe o ambiente mais quente
Interagir com a luz ou o ar-condicionado,"Foxbot, apaga a luz aí"
Interagir com a luz ou o ar-condicionado,diminua a temperatura
Interagir com a luz ou o ar-condicionado,Ligar Luz
Consultar saldo da conta,quanto estou devendo no banco
Obter informações relativas ao clima,"Foxbot, vai tá quente hoje?"
Interagir com a luz ou o ar-condicionado,Qual a temperatura do ar condicionado?
Interagir com a luz ou o ar-condicionado,desligue todos os dispositivos
Consultar saldo da conta,FoxBot quanto tem na minha conta?
Obter informações relativas ao clima,Vai fazer frio hoje?
Consultar saldo da conta,saldo
Obter informações relativas ao clima,qual a previsão do tempo?
Consultar saldo da conta,Quanto dinheiro tenho em minha conta?
Consultar saldo da conta,"Foxbot, qual é o meu saldo"
Consultar saldo da conta,extrato
Consultar saldo da conta,quanto dinheiro eu tenho
Consultar saldo da conta,qual era o meu saldo ontem?
Obter informações relativas ao clima,vai chover?
Consultar saldo da conta,FoxBot saldo da conta
Obter informações relativas ao clima,Está chovendo?
Obter informações relativas ao clima,Qual a previsão do tempo para hoje?
Obter informações relativas ao clima,Devo usar um casaco?
Consultar saldo da conta,"Foxbot, quanto tenho na conta?"
Interagir com a luz ou o ar-condicionado,quantos graus está o ar condicionado?
Interagir com a luz ou o ar-condicionado,ligue a luz
Obter informações relativas ao clima,FoxBot esta calor?
Obter informações relativas ao clima,está nublado hoje
Interagir com a luz ou o ar-condicionado,Acenda a luz
Interagir com a luz ou o ar-condicionado,Está muito quente/frio
Obter informações relativas ao clima,Devo usar uma regata?
Obter informações relativas ao clima,preciso levar um guarda-chuva?
Interagir com a luz ou o ar-condicionado,Tempo estimado até minha casa
Interagir com a luz ou o ar-condicionado,Diminua a temperatura
Obter informações relativas ao clima,vai chover
Obter informações relativas ao clima,qual a temperatura máxima para a semana?
Obter informações relativas ao clima,FoxBot preciso de um guarda-chuva
Obter informações relativas ao clima,"Foxbot, devo levar capa de chuva?"
Obter informações relativas ao clima,Preciso de um guarda chuva hoje?
Consultar saldo da conta,Quantos reais tenho em minha conta?
Interagir com a luz ou o ar-condicionado,Qual é a temperatura do quarto?
Consultar saldo da conta,Consigo comprar uma televisão nova?
Consultar saldo da conta,Qual meu saldo bancário?
Interagir com a luz ou o ar-condicionado,está muito escuro
Obter informações relativas ao clima,qual a temperatura mínima para a semana?
Obter informações relativas ao clima,Vai chover?
Obter informações relativas ao clima,"Foxbot, vai nevar hoje?"
Interagir com a luz ou o ar-condicionado,+ luz
Obter informações relativas ao clima,Amanhã vai fazer calor?
Interagir com a luz ou o ar-condicionado,Preço do ethereum
Interagir com a luz ou o ar-condicionado,- luz
Obter informações relativas ao clima,Como estará o clima na segunda/terça/outro dia da semana?
Interagir com a luz ou o ar-condicionado,Está escuro em
Interagir com a luz ou o ar-condicionado,Aumente a temperatura do ar condicionado para 22 graus
Obter informações relativas ao clima,Vai fazer sol hoje?
Interagir com a luz ou o ar-condicionado,desligar luz
Obter informações relativas ao clima,qual é a intensidade da luz
Obter informações relativas ao clima,preciso levar um casaco?
Interagir com a luz ou o ar-condicionado,apague a luz daqui a meia hora
Interagir com a luz ou o ar-condicionado,Está escuro aqui
Interagir com a luz ou o ar-condicionado,"Foxbot, desligue o ar, está muito frio "
